id,prefix,LSSIN,SKU,marketplace_id,gl,gl_description,item_name,variance_type,variance,image,description,color_name,material_type,msrp,msrp_tax_amount,category_id,category_name,subcategory_id,subcategory_name,brand_id,brand_name,number_of_items,hts_code,parent_lssin,is_base_product,size,unit_of_measurement,country_of_origin,care_instructions,is_vintage,is_pre_order
507,LS,LS507,,1,1,gl_dining,Maria Flor Bowl,Color,Cosmos,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-10-12at4.19.00PM.png?v=1665609582,,Cosmos,Ceramic,779,654.36,1,dinnerware,5,bowls,6,Bordallo Pinheiro,1,,,,15.5,cm,Portugal,Microwave and dishwasher safe (moderate use),,
508,LS,LS508,,1,1,gl_dining,Blue Chintz Bowl,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-19at12.11.08PM.png?v=1663620522,,Blue,Porcelain,681,572.04,1,dinnerware,5,bowls,10,Vista Alegre,1,,,,14.8,cm,Portugal,Microwave and dishwasher safe,,
509,LS,LS509,,1,1,gl_dining,Castelo Branco Bowl,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-19at12.12.57PM.png?v=1663620347,,Blue,Porcelain,1044,876.96,1,dinnerware,5,bowls,10,Vista Alegre,1,,,,18,cm,Portugal,Microwave and dishwasher safe,,
510,LS,LS510,,1,1,gl_dining,Transatlantica Bowl,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-19at12.15.45PM.png?v=1663615561,,Blue,Porcelain,1858,1560.72,1,dinnerware,5,bowls,10,Vista Alegre,1,,,,16.7,cm,Portugal,Not suitable for microwave or dishwasher use,,
511,LS,LS511,,1,1,gl_dining,Pumpkin Individual Tureen,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-19at12.33.39PM.png?v=1663614240,,Orange,Ceramic,1200,1008,2,serverware,11,tureens,6,Bordallo Pinheiro,1,,,,550,ml,Portugal,Microwave and dishwasher safe (moderate use),,
512,LS,LS512,,1,1,gl_dining,Cabbage Bowl- Soup,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-19at12.33.53PM.png?v=1663613777,,Green,Ceramic,729,612.36,1,dinnerware,5,bowls,6,Bordallo Pinheiro,1,,,,17.5,cm,Portugal,Microwave and dishwasher safe (moderate use),,
513,LS,LS513,,1,1,gl_dining,Cabbage  Individual Tureen,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-19at12.34.16PM.png?v=1663612542,,Green,Ceramic,1889,1586.76,2,serverware,11,tureens,6,Bordallo Pinheiro,1,,,,400,ml,Portugal,Microwave and dishwasher safe (moderate use),,
514,LS,LS514,,1,1,gl_dining,Artichoke Bowl,Size,18 cm,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-10-12at4.21.19PM.png?v=1665609746,,Green,Ceramic,912,766.08,1,dinnerware,5,bowls,6,Bordallo Pinheiro,1,,,,18,cm,Portugal,Microwave and dishwasher safe (moderate use),,
515,LS,LS515,,1,1,gl_dining,Herbariae Bowl,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-19at11.41.19AM.png?v=1663610235,,Black,Porcelain,1121,941.64,1,dinnerware,5,bowls,10,Vista Alegre,1,,,,14,cm,Portugal,Microwave and dishwasher safe,,
516,LS,LS516,,1,1,gl_dining,Cabbage Bowl,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-19at11.20.47AM.png?v=1663604716,,White,Ceramic,729,612.36,1,dinnerware,5,bowls,6,Bordallo Pinheiro,1,,,,17.5,cm,Portugal,Microwave and dishwasher safe (moderate use),,
517,LS,LS517,,1,1,gl_dining,Amazonia Pasta Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-18at2.22.55PM.png?v=1663529206,,Green,Porcelain,2254,1893.36,1,dinnerware,46,pasta_plate,10,Vista Alegre,1,,,,28,cm,Portugal,Not suitable for microwave or dishwasher use,,
518,LS,LS518,,1,1,gl_dining,Amazonia Soup Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-10-06at5.31.21PM.png?v=1665095498,,Green,Porcelain,1693,1422.12,1,dinnerware,3,soup_plates,10,Vista Alegre,1,,,,25,cm,Portugal,Not suitable for microwave or dishwasher use,,
519,LS,LS519,,1,1,gl_dining,Utopia Bowl,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-19at1.50.51PM.png?v=1663613473,,White,Porcelain,549,461.16,1,dinnerware,5,bowls,10,Vista Alegre,1,,,,16,cm,Portugal,Microwave and dishwasher safe,,
520,LS,LS520,,1,1,gl_dining,Nymphea Dessert Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-13at6.11.24PM.png?v=1663110805,,White,Porcelain,725,609,1,dinnerware,4,dessert_plates,9,Royal Limoges,1,,,,22,cm,France,Microwave and dishwasher safe,,
521,LS,LS521,,1,1,gl_dining,Blue Chintz Dessert Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-20at3.49.52PM.png?v=1663707021,,Blue,Porcelain,483,405.72,1,dinnerware,4,dessert_plates,10,Vista Alegre,1,,,,21,cm,Portugal,Microwave and dishwasher safe,,
522,LS,LS522,,1,1,gl_dining,Castelo Branco Dessert Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2023-02-11at2.38.20PM.png?v=1676147936,,Blue,Porcelain,747,627.48,1,dinnerware,4,dessert_plates,10,Vista Alegre,1,,,,21,cm,Portugal,Microwave and dishwasher safe,,
523,LS,LS523,,1,1,gl_dining,Margao Dessert Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-20at4.58.53PM.png?v=1663711159,,Blue,Porcelain,1011,849.24,1,dinnerware,4,dessert_plates,10,Vista Alegre,1,,,,22,cm,Portugal,Microwave and dishwasher safe,,
524,LS,LS524,,1,1,gl_dining,Geranium  Dessert Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-12at11.17.45AM.png?v=1663012499,,Green,Ceramic,539,452.76,1,dinnerware,4,dessert_plates,6,Bordallo Pinheiro,1,,,,22,cm,Portugal,Microwave and dishwasher safe (moderate use),,
525,LS,LS525,,1,1,gl_dining,Cabbage Dessert Plate,Color,Green,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-12at11.02.26AM.png?v=1663012362,,Green,Ceramic,505,424.2,1,dinnerware,4,dessert_plates,6,Bordallo Pinheiro,1,,,,19,cm,Portugal,Microwave and dishwasher safe (moderate use),,
526,LS,LS526,,1,1,gl_dining,Artichoke Dessert Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/65024061_51d1e342-38b9-4a46-883a-2a674ae0add7.jpg?v=1663012079,,Green,Ceramic,710,596.4,1,dinnerware,4,dessert_plates,6,Bordallo Pinheiro,1,,,,23.5,cm,Portugal,Microwave and dishwasher safe (moderate use),,
527,LS,LS527,,1,1,gl_dining,202 Rosa Dessert Plate - Set of 4,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/D14_4e32e793-1a09-4969-98da-f9cb777088c7.png?v=1663010033,,Red,Ceramic,2004,1683.36,1,dinnerware,4,dessert_plates,2,La Cartuja de Sevilla,4,,,,20.8,cm,Spain,Microwave and dishwasher safe (moderate use),,
528,LS,LS528,,1,1,gl_dining,Maria Flor Dessert Plate,Color,Cosmos,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/65021878.jpg?v=1670377316,,Cosmos,Ceramic,749,629.16,1,dinnerware,4,dessert_plates,6,Bordallo Pinheiro,1,,,,20,cm,Portugal,Microwave and dishwasher safe (moderate use),,
529,LS,LS529,,1,1,gl_dining,Maria Flor Dessert Plate,Color,Dahlia,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/65021856.jpg?v=1670377316,,Dahlia,Ceramic,749,629.16,1,dinnerware,4,dessert_plates,6,Bordallo Pinheiro,1,,,,20,cm,Portugal,Microwave and dishwasher safe (moderate use),,
530,LS,LS530,,1,1,gl_dining,Maria Flor Dessert Plate,Color,Hollyhock,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/65021879.jpg?v=1670377316,,Hollyhock,Ceramic,749,629.16,1,dinnerware,4,dessert_plates,6,Bordallo Pinheiro,1,,,,20,cm,Portugal,Microwave and dishwasher safe (moderate use),,
531,LS,LS531,,1,1,gl_dining,Maria Flor Dessert Plate,Color,Daisy,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/IMG_9860.jpg?v=1663707870,,Daisy,Ceramic,749,629.16,1,dinnerware,4,dessert_plates,6,Bordallo Pinheiro,1,,,,20,cm,Portugal,Microwave and dishwasher safe (moderate use),,
532,LS,LS532,,1,1,gl_dining,Olivier  Dessert Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-20at4.26.18PM.png?v=1663709281,,Pink,Porcelain,1250,1050,1,dinnerware,4,dessert_plates,9,Royal Limoges,1,,,,22,cm,France,"Suitable for microwave, dishwasher use not recommended",,
533,LS,LS533,,1,1,gl_dining,Olivier Dessert Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-12at12.37.34PM.png?v=1663004361,,Green,Porcelain,1250,1050,1,dinnerware,4,dessert_plates,9,Royal Limoges,1,,,,22,cm,France,"Suitable for microwave, dishwasher use not recommended",,
534,LS,LS534,,1,1,gl_dining,Ceilan  Dessert Plate - Set of 4,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-20at5.05.11PM.png?v=1663711535,,Blue,Ceramic,2004,1683.36,1,dinnerware,4,dessert_plates,2,La Cartuja de Sevilla,4,,,,20.8,cm,Spain,Microwave and dishwasher safe (moderate use),,
535,LS,LS535,,1,1,gl_dining,Emerald Dessert Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-12at11.36.38AM.png?v=1663000685,,Emerald Green,Porcelain,1583,1329.72,1,dinnerware,4,dessert_plates,10,Vista Alegre,1,,,,23,cm,Portugal,Not suitable for microwave or dishwasher use,,
536,LS,LS536,,1,1,gl_dining,Herbariae Dessert Plate,Color,Pink,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-20at4.23.33PM.png?v=1663709044,,Pink,Porcelain,1352,1135.68,1,dinnerware,4,dessert_plates,10,Vista Alegre,1,,,,23,cm,Portugal,Microwave and dishwasher safe,,
537,LS,LS537,,1,1,gl_dining,Herbariae Dessert Plate,Color,Black,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-12at11.27.19AM.png?v=1663709044,,Black,Porcelain,1352,1135.68,1,dinnerware,4,dessert_plates,10,Vista Alegre,1,,,,23,cm,Portugal,Microwave and dishwasher safe,,
